"","id","time","equity","liquidity","margin","interestOffer","riskTaking","demandSolvency","demandLeverage","creditAmount","creditECAI","strategyRate","creditDemandRelation","equityNeed","ecaiSolvency","ecaiLeverage","depositMargin","interbankMargin","keyInterRate","depositsTotal","reserveRequirement","reservesNeed","reservesDemand","reservesExcess","basisMoney","centralLoan","reserveOutflow","centralCosts","interbankCosts","interbankProfit","interbankVolume","centralVolume"
"1",5,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"2",9,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"3",2,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"4",1,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"5",7,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"6",12,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"7",6,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"8",3,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"9",10,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"10",11,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"11",8,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"12",4,0,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.01,0,920,9.2,125,0,0,100,0,120,0,0,0,0,0
"13",5,1,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.00916089037737638,0.000839109622623619,925.807748678072,9.25807748678072,0,0,1.4210854715202e-14,168.807748678072,0,63.8077486780719,0,0,0,0,0
"14",9,1,10,10,0.01,0.03,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.0086650867082641,0.00133491329173589,927,9.27,129.72,0,0,34.28,0,59,0,0,0,0,0
"15",2,1,10,10,0.00911257274838804,0.029112572748388,1.06249975002786,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,0.000389790232512119,0.00720580989895278,0.00279419010104721,918.965568264362,9.18965568264362,156.77516868664,0,0,40.64379217166,0,92.4189608583,0,0,0,0,0
"16",1,1,10,10,0.00987446830318007,0.0298744683031801,1.16941626537138,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.00895224300353458,0.00104775699646541,939.134022549341,9.39134022549341,130.236426065351,0,0,33.7635739346491,0,59,0,0,0,0,0
"17",7,1,10,10,0.00931995953767075,0.0293199595376708,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.00911519885261791,0.000884801147382088,911.669198066481,9.11669198066481,153.805143206531,0,0,40.4012858016327,0,89.2064290081634,0,0,0,0,0
"18",12,1,10,10,0.00948321016451406,0.0294832101645141,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.00759122490782578,0.00240877509217422,912.910651633772,9.12910651633772,127.48137343772,0,0,33.4292781960527,0,55.9106516337725,0,0,0,0,0
"19",6,1,10,10,0.01,0.03,1,0,0,17.3660648725882,3.47321297451765,2,7.12529614441534,-6.12529614441534,101.789944920219,305.967268460745,1e-04,0.00923736224230837,0.000762637757691628,912.374723623034,9.12374723623034,149.125846597431,0,0,39.2458977266649,0,83.3717443240954,0,0,0,0,0
"20",3,1,13,7,0.01,0.03,0.893588629222101,0,0,24.1915561062087,4.83831122124174,2,7.10789660225702,-7.94026558293413,132.003794041916,402.141777227125,1e-04,0.00985677241482067,0.000143227585179328,927,9.27,131.16,0,0,33.84,0,60,0,0,0,0,0
"21",10,1,10,10,0.00979988535073157,0.0297998853507316,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.00883022581108034,0.00116977418891965,942.082518610267,9.42082518610267,0,0,0,166,0,61,0,0,0,0,0
"22",11,1,10,10,0.0093441041392336,0.0293441041392336,1,0,0,1,1,2,7.29842105263158,-6.29842105263158,104.263157894737,322.333333333333,1e-04,0.0115988330892974,0.0215988330892974,915,9.15,136.4,0,0,34.6,0,66,0,0,0,0,0
"23",8,1,12,8,0.01,0.03,0.83140423427094,0,0,25.4026708800311,5.08053417600622,2,7.07205655903122,-7.28646787083746,121.235255297678,366.597329119969,1e-04,0.00934583199782753,0.000654168002172464,927.972493796578,9.27972493796578,0,0,7.105427357601e-15,158.972493796578,0,53.9724937965777,0,0,0,0,0
